Location,Author,Rating,Review Text,Time
Bank Jateng KC Surakarta,Djoko Saptono,5 bintang,Pelayanannya cepat.. banking hallnya nyaman.. tingkatkan terus pelayanan utk nasabah..,4 bulan lalu
Bank Jateng KC Surakarta,Rvldo Papo,1 bintang,"pelayanan mengecewakan, saya kemarin kesana antri 2jam baru dipanggil. antrian rame teller cuman 2-3org. tolong ditambah SDM nya",6 bulan lalu
Bank Jateng KC Surakarta,Adi Tamikasari,1 bintang,"Kalau tidak bisa di hubungi no telp nya,, jgn di cantumkan

Percuma ada no telp tapi tidak bisa di hubungi semua",sebulan lalu
Bank Jateng KC Surakarta,Tommy,5 bintang,Bank yang setia dikunjungi minimal 1 Tahun sekali setiap membayar PBB 😁 …,3 tahun lalu
Bank Jateng KC Surakarta,Yy Xx,1 bintang,"Mohon untuk security di brefing ya tentang peraturan penarikan uang di bank .
Tadi saya sudah menanyakan kepastiaannya apakah bisa menarik uang tanpa membawa buku tabungan . Lalu sec menjawab “bisa , dlu buatnya di sini kan , yang penting …",11 bulan lalu
Bank Jateng KC Surakarta,Sutami -,1 bintang,Pengambilan ijazah setelah lunas lama. 2x di samperin ke bank nya. Bilangnya mau di carikan2 dulu dan nnti di hubungi sampe skrng blm di kembalikan2..,8 bulan lalu
Bank Jateng KC Surakarta,erlin widi,5 bintang,"Pelayanan bagus,pegawai ramah2.Sukses selalu bank Jateng",4 bulan lalu
Bank Jateng KC Surakarta,Ressa Teja Arivianto,5 bintang,"Kantornya bank jateng bersih,rapi,securty n pegawai lainya sangat ramah",3 tahun lalu
Bank Jateng KC Surakarta,Ferdianto Bagus Saputro,1 bintang,"Pelayanan sangat amat tidak ramah kepada customer, terkait penginformasian penukaran uang baru juga tidak bs 1 suara... Antara loket 1 dengan loket lainnya berbeda""... Tolong dibenahi segera...!!!!",11 bulan lalu
Bank Jateng KC Surakarta,Shun Lyght,1 bintang,"Sejam antrian masih juga beranjak. Kenapa? Karena yang mengambil antrian dan ditinggal bakal dilayani kalo antriannya terlewat, dari antrian 125 ke 126 aja yang dilayani 4 orang. Kasihan yang benar2 menunggu di tempat.padahal dulu ada perbaikan kalau terlewat harus mengambil nomor antrian baru...sekarang meh....",6 bulan lalu
Bank Jateng KC Surakarta,IB CHANNEL,5 bintang,Sabtu buka,6 bulan lalu
Bank Jateng KC Surakarta,Yudhi Arwanto,5 bintang,Bank Jateng pelayanan Sangat baik.. Trimakasih bank Jateng,sebulan lalu
Bank Jateng KC Surakarta,Topan Raharjo,2 bintang,"Saya mengurus pencairan tabungan adik saya yang meninggal kok spt dipersulit ya, jd hrs bolak balik. Padahal jauh dr luar kota,hrs atur waktu. Banyak nanya CS nya malah cemberut lagi 🤦‍♂️. Tolong dibantu biar nasabah tdk susah ya. …",setahun lalu
Bank Jateng KC Surakarta,Nadila Wahyu Cahyani,1 bintang,Antrian di cs lama banget. Sebelum kesini ke BANK JATENG SYARIAH dulu Krn kartu ATM BANK JATENG SYARIAH. setelah itu diarahin ke kantor dimana kartu ATM nya ketelen. Dan di KC ini nih. Udh antri lama. Ternyat belum bisa di aktifin harus di …,setahun lalu
Bank Jateng KC Surakarta,Presiden “Mumu” 2029,1 bintang,"Salah satu bank layanan buruk.
1. Ambil uang harus yg punya rek (istri). Suami gak boleh, padahal sudah bawa KTP istri. Bank lain ga masalah. …",2 tahun lalu
Bank Jateng KC Surakarta,Lavenia Rin Elsafara,5 bintang,"Pelayanan ramah dan cepat, ruangan bersih dan kursi diatur jarak jg 👍 …",3 tahun lalu
Bank Jateng KC Surakarta,i laurensia,1 bintang,"teller ga jelas, nomor antrian salah sampai dilewati 10 nomor tapi ga ada minta maaf sama sekali",9 bulan lalu
Bank Jateng KC Surakarta,Fitria retno Dewati,5 bintang,Cepat pelayanannya,sebulan lalu
Bank Jateng KC Surakarta,Vina,1 bintang,Lapor masalah bima mobile ga bisa ke CS.. CS kurang membantu dan Password sempat dibuka 2 kali menjadi bisa dilihat oleh CS.. jujur sangat tidak nyaman ketika CS dengan tanpa bersalahnya buka password saya dan 2 kali lagi… CS hari ini yang di tengah,setahun lalu
Bank Jateng KC Surakarta,Nasrullah Nyah,3 bintang,Pelayanan lumayan bagus n standar lah...namun terkait pelayanan aplikasi perlu upgrade lah kayak perbankan lain...layanan secara online sering terkendala,setahun lalu
Bank Jateng KC Surakarta,Agung Lucky Pradita,5 bintang,"Bank jateng, banknya orang jawa tengah. Bank jateng tumbuh dan tangguh",4 bulan lalu
Bank Jateng KC Surakarta,Mutia rd,5 bintang,"good service, lokasi strategis✅👍🏼 …",4 bulan lalu
Bank Jateng KC Surakarta,noradina rahmawati,5 bintang,"Tempat adem dan nyaman. Kl k sini sebaiknya pagi aja ya tellernya banyak, jd bs cepet☺️",setahun lalu
Bank Jateng KC Surakarta,Matius Susilo,1 bintang,"Pelayanan teller sangat amat ribet dan membuat jengkel. 2 kali disuruh revisi form ini itu, g sekalian dikasih contoh pas salah pertama kali. Kalau g kepepet gara2 disuruh ambil pensiunan bapak, g mau aku repot2 kr sana.",3 tahun lalu
Bank Jateng KC Surakarta,joko rusdiatmo,4 bintang,Pelayanan customer servis mohon di percepat,setahun lalu
Bank Jateng KC Surakarta,deky exfanda,5 bintang,Bank Jateng semakin baik. Mbaking lebih mudah,4 bulan lalu
Bank Jateng KC Surakarta,Aziz Nur Fathoni,5 bintang,"Ada kendala, kemarin transfer beda atm, udah berhasil, tapi uang tidak masuk dan saldo berkurang...
Dilayani dengan baik di cabang RS Kasih Ibu.. …",3 tahun lalu
Bank Jateng KC Surakarta,Yusuf Hidayat,2 bintang,tellernya senyumnya mahal. ketus,5 bulan lalu
Bank Jateng KC Surakarta,imas afifah,1 bintang,Pelayanan buruk,2 bulan lalu
Bank Jateng KC Surakarta,Yong Ps,1 bintang,"Ngakak.. !!! Biaya admin kik 2,5jt.. tarik atm 5jt ehhh ada biaya admin kok di keterangan 2,5jt gila apa gman?",setahun lalu
Bank Jateng KC Surakarta,angga bintang,5 bintang,Pelayanan ramah terutama kantor balaikota,6 bulan lalu
Bank Jateng KC Surakarta,BALBALAN TV,1 bintang,"Paling buruk pelayanannhay, teller jutek, satpam tidak solutif, cs tidak konsisten",9 bulan lalu
Bank Jateng KC Surakarta,Dionisius Thomas A,4 bintang,Mantull cfday bisa nyemil disini,2 tahun lalu
Bank Jateng KC Surakarta,Watik Istiningsih,5 bintang,"Bank yang cukup baik dalam memberi pelayanan, mempunyai berbagai macam produk perbankan, tabungan, deposito, tabungan rencana untuk hari tua, pelayanan ramah, tempatnya sangat nyaman, bersih, ada toilet bersih, ada tempat parkir yang cukup …",3 tahun lalu
Bank Jateng KC Surakarta,Alfina F,5 bintang,"Pelayanan nya baik.
Saya sering mengambil uang melalui Teller dengan pelayanan yang sangat cepat. Informasi tambahan, karena beda cabang, sebaiknya harus membawa FC KTP.l agar proses lebih mudah dan cepat.",6 tahun lalu
Bank Jateng KC Surakarta,Erni Wijaya,4 bintang,Kalau telepon bank jateng itu susahnya minta ampun. Nyambung tapi tdk pernah diangkat.,setahun lalu
Bank Jateng KC Surakarta,Nur Hasan,1 bintang,di CS antrian lama .mohon dtambah petugas CS nya.,9 bulan lalu
Bank Jateng KC Surakarta,Rita Nur latifa,5 bintang,"Prosesnya cepat,,pelayanan sangat ramah dan bagus banget,,tempatnya nyaman,jadi enak buat nunggu antrian,,pengamanan jg bagus,,tmpt parkirnya rapi,,",3 tahun lalu
Bank Jateng KC Surakarta,Syaifudin udin,4 bintang,"antean ATM selalu ramai, mesin ATM ada aja yg selalu dlm perbaikan",setahun lalu
Bank Jateng KC Surakarta,Hendra Sumarno,5 bintang,"Satpam ramah mau membantu ambilkan antrian sesuai kebutuhan,kalo gk mau lama antri datang pagi pas jam buka kantor",5 tahun lalu
Bank Jateng KC Surakarta,Gunadi Saja,1 bintang,Pelayanannya luar biasa lamanya. Satu nomor ke nomor lain bisa diatas 30 menit.,setahun lalu
Bank Jateng KC Surakarta,kasiyanta deka,5 bintang,"Ruangan dingin. Parkir luas, pintu untuk pengguna kursi roda, ada ruang untuk pemberian ASI, changer hp.",7 tahun lalu
Bank Jateng KC Surakarta,David Johan Varianto,1 bintang,"Saya nasabah Bank Jateng, malah diusir mobil saya sama Satpam shift malam, pelayanan macam apa ini Bank Jateng?",2 tahun lalu
Bank Jateng KC Surakarta,Yosua Khresna Haswidhi,5 bintang,"Pelayanannya bagus dan ramah, tempat nunggu juga enak adem dan kurusnya empuk",2 tahun lalu
Bank Jateng KC Surakarta,Budhi Martono,5 bintang,"Layanan cepat, ruang tunggu luas",10 bulan lalu
Bank Jateng KC Surakarta,vania nia,3 bintang,"Kadang pelayanan ramah
Tempat nyaman",setahun lalu
Bank Jateng KC Surakarta,Safira Sabrina Salma,1 bintang,di telfon ga pernah bisa,6 bulan lalu
Bank Jateng KC Surakarta,Fitria Novitasari,1 bintang,Pelayanan teller sangat lama,11 bulan lalu
Bank Jateng KC Surakarta,Riyan,5 bintang,Pelayanannya cepat walau ramai. Petugasnya sangat ramah. Tempat parkirnya luas.,8 tahun lalu
Bank Jateng KC Surakarta,anonim,5 bintang,"Bank jateng gayeng, sangat membantu 👍 …",7 tahun lalu
Bank Jateng KC Surakarta,Chandra Wardiyan,1 bintang,"Telepon bank jateng cabang Surakarta, disambungin ke operator jawabnya ga ramah",2 tahun lalu
Bank Jateng KC Surakarta,Garry Wng,5 bintang,Alhamdulillah dilayani dengan baik,6 bulan lalu
Bank Jateng KC Surakarta,Katiman Najib,4 bintang,"Layanan biasa.. Tempat Parkir cukup
ATM sebagian rusak",7 tahun lalu
Bank Jateng KC Surakarta,naufal .b,5 bintang,Antrian banyak tapi pelayanan cepat,7 tahun lalu
Bank Jateng KC Surakarta,Sardito Sjm,5 bintang,Pelayananya cepat dan ramah,8 bulan lalu
Bank Jateng KC Surakarta,Bambang Hadi,5 bintang,"Setiap minggu pagi, ada Samsat keliling",2 tahun lalu
Bank Jateng KC Surakarta,Ismi Wulandari,4 bintang,"Mengantar bapak mengambil pensiunan.. pegawai ramah, sopan dan cepat. the best👍🏾 …",7 tahun lalu
Bank Jateng KC Surakarta,DwiAri Setyadi,5 bintang,tempat tepat bayar pajak daerah,10 bulan lalu
Bank Jateng KC Surakarta,Wahyu Hidayat,1 bintang,"Slow respon apabila di telp, di reject trus buat jengkel!!!",3 tahun lalu
Bank Jateng KC Surakarta,Nunung Ela Ambar Rini,5 bintang,"Tempatnya bersih,nyaman, pelayanan nya cepat dan ramah ramah",3 tahun lalu
Bank Jateng KC Surakarta,Irwan Gopren,5 bintang,"Ramah, lancar, sat set, bersih, nyaman..",2 tahun lalu
Bank Jateng KC Surakarta,muhamad sajadi,5 bintang,pelayanan bagus tempat bersih nyaman,setahun lalu
Bank Jateng KC Surakarta,Noer Rief,5 bintang,"Parkiran luas, tempat antrian nyaman sejuk, pelayanan cepat",8 tahun lalu
Bank Jateng KC Surakarta,Dunia wisata Jawa Tengah,4 bintang,Pelayanan yang nyaman dan bagus,setahun lalu
Bank Jateng KC Surakarta,widia kam,4 bintang,"Parkir luas, pegawai ramah, satpam ramah dan membantu. Good",6 tahun lalu
Bank Jateng KC Surakarta,Hendry Kiswanto,4 bintang,Tempat tunggu nyaman & pelayanan cepat,3 tahun lalu
Bank Jateng KC Surakarta,Erico Trisna Wijaya,5 bintang,Pelayanan yang memuaskan,setahun lalu
Bank Jateng KC Surakarta,Wiji Lestari,5 bintang,Pelayanannya cepat & ramah,2 tahun lalu
Bank Jateng KC Surakarta,Bambang Eko Purnomo,5 bintang,"Bagus pelayanannya, tertib",3 tahun lalu
Bank Jateng KC Surakarta,Anis Budiman,4 bintang,Bayar PBB selalu dibank jateng,4 tahun lalu
Bank Jateng KC Surakarta,Rendrayan,5 bintang,bagus cepat efisien,2 tahun lalu
Bank Jateng KC Surakarta,Agoes Wae78,5 bintang,Bersih nyaman,setahun lalu
Bank Jateng KC Surakarta,Luthfi Nurul,2 bintang,CS tidak ramah😊 …,3 tahun lalu
Bank Jateng KC Surakarta,priyo wibowo,1 bintang,No tlpn sulit di hubungi,3 tahun lalu
Bank Jateng KC Surakarta,Nyoman son,3 bintang,telfonya susah,3 tahun lalu
Bank Jateng KC Surakarta,yusuf setyadi,4 bintang,Nyaman Dan ramah,8 tahun lalu
Bank Jateng KC Surakarta,Sunarya arya,5 bintang,Bank yang merakyat,5 tahun lalu
Bank Jateng KC Surakarta,Pandan Wangi,3 bintang,Aman,3 tahun lalu
Bank Jateng KC Surakarta,Berta Nursyahnanda,5 bintang,Bank Jateng KC Surakarta Bank Di Kota Surakarta,setahun lalu
Bank Jateng KC Surakarta,Kuyang Linglung,1 bintang,Sulit untuk melunasinya. Pokoknya saya tidak yakin.... Saya akan berada di sini.... Bagian pemasaran kreditnya buruk. Pelayanan bagus,3 tahun lalu
Bank Jateng KC Surakarta,Idaman Mu,5 bintang,Sakpol dan,4 bulan lalu
Bank Jateng KC Surakarta,irma,5 bintang,sangat nyaman dan bersih,setahun lalu
Bank Jateng KC Surakarta,Hapsari Dyah Ratna Furi,5 bintang,Pelayanan yang baik,sebulan lalu
Bank Jateng KC Surakarta,Chandra Kurniawan,4 bintang,No Review,2 tahun lalu
Bank Jateng KC Surakarta,tamto project,5 bintang,Bank Lokal Pelayanan Terbaik,2 tahun lalu
Bank Jateng KC Surakarta,Arif Murdianto (Reyvand),5 bintang,Pelayanan yang baik,5 tahun lalu
Bank Jateng KC Surakarta,Ganang Zaki,1 bintang,No Review,seminggu lalu
Bank Jateng KC Surakarta,Husna Nisa,4 bintang,No Review,2 minggu lalu
Bank Jateng KC Surakarta,RATNA WATI,5 bintang,No Review,sebulan lalu
Bank Jateng KC Surakarta,Cabang Koordinator Surakarta,5 bintang,No Review,sebulan lalu
Bank Jateng KC Surakarta,Astri Prayitno,5 bintang,No Review,2 bulan lalu
Bank Jateng KC Surakarta,Putra Galang Handika,5 bintang,No Review,4 bulan lalu
Bank Jateng KC Surakarta,Agus BU,5 bintang,No Review,4 bulan lalu
Bank Jateng KC Surakarta,Mujiman Mujiman,5 bintang,No Review,4 bulan lalu
Bank Jateng KC Surakarta,Gilang Pamungkas,5 bintang,No Review,4 bulan lalu
Bank Jateng KC Surakarta,Galih Wicaksono,5 bintang,No Review,4 bulan lalu
Bank Jateng KC Surakarta,Hesti Pawitrasari,5 bintang,No Review,4 bulan lalu
Bank Jateng KC Surakarta,wiwik supriyati,5 bintang,No Review,4 bulan lalu
Bank Jateng KC Surakarta,alexis ramsey,5 bintang,No Review,4 bulan lalu
Bank Jateng KC Surakarta,Ettiek Supriyani,5 bintang,No Review,4 bulan lalu
Bank Jateng KC Surakarta,Art galyh,5 bintang,No Review,4 bulan lalu
Bank Jateng KC Surakarta,Ka Sukartikah,5 bintang,No Review,4 bulan lalu
Bank Jateng KC Surakarta,Cyntia Ardita,5 bintang,No Review,4 bulan lalu
Bank Jateng KC Surakarta,Ari Doni,5 bintang,No Review,4 bulan lalu
Bank Jateng KC Surakarta,38_Farhan Prayoga,5 bintang,No Review,4 bulan lalu
Bank Jateng KC Surakarta,cesa elenna pracilia Putri,5 bintang,No Review,4 bulan lalu
Bank Jateng KC Surakarta,Afifah Triyana Dewi,5 bintang,No Review,4 bulan lalu
Bank Jateng KC Surakarta,Legowo Bayu,5 bintang,No Review,4 bulan lalu
Bank Jateng KC Surakarta,Nadiroh Sungkar,5 bintang,No Review,4 bulan lalu
Bank Jateng KC Surakarta,Rhedik Rakadea,5 bintang,No Review,4 bulan lalu
Bank Jateng KC Surakarta,Rico grd,5 bintang,No Review,4 bulan lalu
Bank Jateng KC Surakarta,Anugrah Tommy55,1 bintang,No Review,5 bulan lalu
Bank Jateng KC Surakarta,Fitria Novitasari,5 bintang,No Review,5 bulan lalu
Bank Jateng KC Surakarta,magda kumalasari,5 bintang,No Review,6 bulan lalu
Bank Jateng KC Surakarta,Angga Saputro,5 bintang,No Review,6 bulan lalu
Bank Jateng KC Surakarta,Santika Pramuty,4 bintang,No Review,9 bulan lalu
Bank Jateng KC Surakarta,Pawon Gemati,2 bintang,No Review,9 bulan lalu
Bank Jateng KC Surakarta,Bima Setyawan,5 bintang,No Review,10 bulan lalu
Bank Jateng KC Surakarta,Fajar Suryanto,5 bintang,No Review,10 bulan lalu
Bank Jateng KC Surakarta,Anjang Kusuma Netra,1 bintang,No Review,setahun lalu
Bank Jateng KC Surakarta,Ignatius Damar,1 bintang,No Review,setahun lalu
Bank Jateng KC Surakarta,Danar panji kusuma,5 bintang,No Review,setahun lalu
Bank Jateng KC Surakarta,Anin Kummara,5 bintang,No Review,setahun lalu
Bank Jateng KC Surakarta,yonan wunandar,4 bintang,No Review,setahun lalu
Bank Jateng KC Surakarta,Djoko Waskito,5 bintang,No Review,setahun lalu
Bank Jateng KC Surakarta,Aristyo Nugroho,5 bintang,No Review,setahun lalu
Bank Jateng KC Surakarta,Lisa Ristiana,1 bintang,No Review,setahun lalu
Bank Jateng KC Surakarta,Yulia AP,5 bintang,No Review,setahun lalu
Bank Jateng KC Surakarta,Lasmi Eyu,5 bintang,No Review,2 tahun lalu
Bank Jateng KC Surakarta,Beni Shod,1 bintang,No Review,2 tahun lalu
Bank Jateng KC Surakarta,Dwi Adi Prihutomo,5 bintang,No Review,2 tahun lalu
Bank Jateng KC Surakarta,Dani Saputra,4 bintang,No Review,2 tahun lalu
Bank Jateng KC Surakarta,Pinan Pratiwi,4 bintang,No Review,2 tahun lalu
Bank Jateng KC Surakarta,Ganyong “Dhika ganyong” Gariskeraskamtisfamily,4 bintang,No Review,2 tahun lalu
Bank Jateng KC Surakarta,Noto Sarira,1 bintang,No Review,3 tahun lalu
Bank Jateng KC Surakarta,Madu Mastuti,5 bintang,No Review,3 tahun lalu
Bank Jateng KCP Manahan,Aditya Putra,5 bintang,"Pelayanan dari teller, customer service bahkan securitynya menyenangkan dan tidak pernah memberikan kesan buruk ke saya. Apalagi dekat dengan kontrakan, jadi lebih enak kalau mau ambil uang 👍🏻 …",4 bulan lalu
Bank Jateng KCP Manahan,aed Kusuma,1 bintang,"Selama ini bisa tarik tunai di KC Jateng manapun dan pelayanan baik, tapi untuk KC Manahan ini AMAT SANGAT MENGECEWAKAN pelayanannya.
Tidak bisa tarik tunai ke 2x nya dengan alasan yang sama ""hanya bisa digunakan …",4 bulan lalu
Bank Jateng KCP Manahan,Sih Priyanto,5 bintang,"Tarikan dan setoran uang bisa melalui mesin ATM, tak perlu menunggu kantor buka bila mau setor malam hari...",4 bulan lalu
Bank Jateng KCP Manahan,Laurensius Lorent,5 bintang,"Ramah banget pelayanannya, jadi pengen kesana terus ketemu mba Dea🤗 …",4 bulan lalu
Bank Jateng KCP Manahan,Dzikra Kamilia Faiha,2 bintang,"pelayanan nya minus banget. Beda sama cabang slamet riyadi. Saya pas mau tarik tunai (memanh ada masalah dikit), saya jelaskan apa yang cabang slamet riyadi bilang, tapi pelayan bilang gak bisa. Padahal di Slamet Riyadi bisa.",8 bulan lalu
Bank Jateng KCP Manahan,Saba Kebon Channel,1 bintang,"Atm sy expaired, udh ngurus dari 2bln lalu memang blm jadi. Tapi selama ini bisa di layani di bank jateng KCP manapun,, KECUALI KCP manahan yg alesannya macem2. …",9 bulan lalu
Bank Jateng KCP Manahan,Ilham putra atmaja,5 bintang,"pelayanan ramah cepat
sangat membantu",3 minggu lalu
Bank Jateng KCP Manahan,tegar wahyu rukmana,5 bintang,Pelayanan amat sangat cepat dan ramah sekali,4 bulan lalu
Bank Jateng KCP Manahan,Fatkhur Ari,5 bintang,Tempat bersih pelayanan jg oke.,4 bulan lalu
Bank Jateng KCP Manahan,Azzhz putriF,5 bintang,"pelayanan nya oke,orang nya ramah ramah,",4 bulan lalu
Bank Jateng KCP Manahan,Prilihastya Rosadiati,5 bintang,Pelayanannya ramah,4 bulan lalu
Bank Jateng KCP Manahan,Mirza Firmansyah,5 bintang,Pelayanannya ok..,4 bulan lalu
Bank Jateng KCP Manahan,website not,5 bintang,"Pelayanan Baik, Memuaskan",4 bulan lalu
Bank Jateng KCP Manahan,Efraim Martomu,5 bintang,"Pelayanan Baik, lanjutkan",4 bulan lalu
Bank Jateng KCP Manahan,Irvan Simanjuntak,5 bintang,Pelayanan nya juara,4 bulan lalu
Bank Jateng KCP Manahan,Petrus Setiyomo,5 bintang,Baik dan bagus,3 minggu lalu
Bank Jateng KCP Manahan,Deny Aristiawan,5 bintang,Pelayanannya top mantap,4 bulan lalu
Bank Jateng KCP Manahan,Efraim Martomu,5 bintang,Pelayanan sangat Baik,4 bulan lalu
Bank Jateng KCP Manahan,fahmi nur cahyanto,5 bintang,pelayanan ramah cepat,4 bulan lalu
Bank Jateng KCP Manahan,Rendrayan,4 bintang,"tempat agak nyaman
pelayanan lumayan bagus
cuman kalo pagi bank masih tutup ambil uang di atm dah diparkiri wkwkwk",2 tahun lalu
Bank Jateng KCP Manahan,Carissaedreadewi Priwantiputri,1 bintang,"Pelayanan aneh, nomer yang dipanggil tidak sesuai sama antrian. Yang dipanggil nomer 6 tapi pas no 6 yg maju, dibilang nya belum nomer 6, disuruh nanti.",2 tahun lalu
Bank Jateng KCP Manahan,Aziz Nur Fathoni,1 bintang,"Mau tarik tunai tidak bisa, harus lewat atm pakai kartu..
Padah kartunya baru gaka ada, perluwaktu untuk mencari.
Padahal uangnya sedang di butuhkan..",3 tahun lalu
Bank Jateng KCP Manahan,Meylia Permatasari,5 bintang,Lokasi nyaman ambil pensiun mendampingi orang tua,2 tahun lalu
Bank Jateng KCP Manahan,re deathnote,5 bintang,"Wah alhamdulillah Bank Jateng Manahan Sudah ada ATM tarik setor tunai, ndak perlu bingung lg sekarang pas hari libur 👍👍 …",2 tahun lalu
Bank Jateng KCP Manahan,KurniawanDM KDM,5 bintang,"Pelayanannya menyenangkan, buka rekening sama aktifasi mobile banking dibantu sampai bisa..sipp..",2 tahun lalu
Bank Jateng KCP Manahan,Afny Laila,3 bintang,Di gmaps sabtu buka sampai 10.30 wib. Pas sampai lokasi tutup banknya...apakah ada perubahan jam buka?,2 tahun lalu
Bank Jateng KCP Manahan,Avylia Widiyawati,1 bintang,"Tarik uang ngk bisa hrs pakai atm, pelayanan ngk ramah, mau transfer uang juga ngk bisa, semuanya kok ngk bisa dibank ini",setahun lalu
Bank Jateng KCP Manahan,Nov Nov93,5 bintang,👍 …,4 bulan lalu
Bank Jateng KCP Manahan,Eddy Gunawan,3 bintang,Teler nya cman 1 lama antri nya,7 tahun lalu
Bank Jateng KCP Manahan,Syauban Anas,5 bintang,Kantor cabang bank jateng di dekat manahan kota solo,6 tahun lalu
Bank Jateng KCP Manahan,not bad,1 bintang,gak akan lagi saya datang ke kantor ini.saya ke bank jateng manapun tidak bermasalah dalam tandatangan.cuma di kantor bank jateng ini yang selalu tidak bisa.saya kecewa.,3 tahun lalu
Bank Jateng KCP Manahan,Tri Rejeki,3 bintang,"Pelayanan oke,lokasi agak sempit",setahun lalu
Bank Jateng KCP Manahan,anjar ardiatmo,5 bintang,Cepat dan ramah,setahun lalu
Bank Jateng KCP Manahan,Abdulharitsah Efendy,4 bintang,Pelayananan cepat ramah,4 tahun lalu
Bank Jateng KCP Manahan,Rahmad Darmawan,3 bintang,pelayanan ramah,7 tahun lalu
Bank Jateng KCP Manahan,Noer Rief,3 bintang,Pelayanan sip,7 tahun lalu
Bank Jateng KCP Manahan,Katiman Najib,4 bintang,Baik,7 tahun lalu
Bank Jateng KCP Manahan,Dea Astika,5 bintang,LAYANAN TERBAIK👍🏻👍🏻👍🏻 …,4 bulan lalu
Bank Jateng KCP Manahan,Hang Sakty,5 bintang,Nyaman dan mendukung aktivitas perbankan.,2 tahun lalu
Bank Jateng KCP Manahan,wahyu kurniawan,1 bintang,No Review,3 bulan lalu
Bank Jateng KCP Manahan,Wahyu Cahyono,5 bintang,No Review,4 bulan lalu
Bank Jateng KCP Manahan,yuliana darnayanti,5 bintang,No Review,4 bulan lalu
Bank Jateng KCP Manahan,Dewi Chrystiyanti,5 bintang,No Review,4 bulan lalu
Bank Jateng KCP Manahan,Dini Yulianti,5 bintang,No Review,4 bulan lalu
Bank Jateng KCP Manahan,Gladis Hapsari,5 bintang,No Review,4 bulan lalu
Bank Jateng KCP Manahan,ika sarirahayu,5 bintang,No Review,4 bulan lalu
Bank Jateng KCP Manahan,Nindy Surya,5 bintang,No Review,4 bulan lalu
Bank Jateng KCP Manahan,Rosiana Ayu,5 bintang,No Review,4 bulan lalu
Bank Jateng KCP Manahan,Anin Kummara,5 bintang,No Review,4 bulan lalu
Bank Jateng KCP Manahan,triadha ispandi87,5 bintang,No Review,4 bulan lalu
Bank Jateng KCP Manahan,Dimas Widyatama,5 bintang,No Review,4 bulan lalu
Bank Jateng KCP Manahan,ardiansyah noor,5 bintang,No Review,4 bulan lalu
